COUNTY,EMPLOYMENT,INCOME,LABOR_PARTICIPATION,WEIGHT,SEX,AGE
50000,0,35200,0,1360.48,1,84
50000,0,15190,1,1360.48,0,49
50000,1,9000,1,1236.8,1,49
50000,0,16000,1,4576.16,0,73
50000,1,31100,1,1236.8,0,40
50000,1,24500,1,742.08,1,39
50000,-1,9999999,-1,1236.8,1,13
50000,-1,9999999,-1,1978.88,1,10
50000,0,12900,0,3339.36,0,68
50000,0,6300,0,2597.28,1,66
50000,0,18570,0,1360.48,0,24
50000,0,12450,0,1360.48,1,77
50000,1,0,1,1236.8,0,18
50000,1,38000,1,1978.88,1,48
50000,1,29500,1,1978.88,1,29
50000,1,15200,1,1978.88,0,32
50000,1,28500,1,1360.48,1,31
50000,-1,9999999,-1,618.4,1,8
50000,-1,9999999,-1,1978.88,1,4
50000,1,26000,1,1236.8,1,48
50000,1,17000,1,1978.88,1,43
50000,1,18000,1,1236.8,0,49
50000,-1,9999999,-1,1360.48,0,5
50000,1,70200,1,1360.48,0,51
50000,1,6900,1,1360.48,1,57
50000,0,6850,0,1978.88,1,43
50000,0,8900,0,3957.76,1,63
50000,0,16200,0,618.4,0,67
50000,1,16200,1,1978.88,1,60
50000,1,14100,1,1360.48,1,41
50000,0,22200,1,1978.88,0,53
50000,-1,0,-1,618.4,1,15
50000,0,8000,0,1978.88,1,85
50000,1,14640,1,618.4,1,49
50000,1,35120,1,1360.48,0,52
50000,-1,1200,-1,1236.8,0,15
50000,0,12000,1,618.4,0,45
50000,0,30600,0,1978.88,0,81
50000,1,55500,1,618.4,1,37
50000,1,34000,1,1360.48,0,37
50000,1,91200,1,1360.48,0,48
50000,1,19000,1,1236.8,1,46
50000,0,100,0,1360.48,0,16
50000,-1,9999999,-1,1360.48,0,13
50000,0,12200,0,3215.68,1,71
50000,1,7900,1,3339.36,1,44
50000,0,38000,0,2597.28,0,72
50000,0,5400,0,3339.36,1,64
50000,1,21050,1,1978.88,0,45
50000,1,35940,1,1360.48,1,41
50000,0,0,0,1978.88,0,16
50000,-1,9999999,-1,1978.88,1,14
50000,1,27390,1,3957.76,0,64
50000,1,24000,1,3957.76,1,62
50000,1,37750,1,1360.48,0,40
50000,-1,9999999,-1,1236.8,0,12
50000,0,11800,0,3339.36,0,80
50000,0,4200,0,2597.28,1,70
50000,1,33000,1,2597.28,0,42
50000,1,40030,1,2720.96,1,40
50000,1,18000,1,3215.68,0,19
50000,1,30360,1,3957.76,0,59
50000,1,18700,1,3957.76,1,54
50000,1,0,1,5936.64,0,28
50000,1,36000,1,1978.88,0,34
50000,1,16000,1,3957.76,1,29
50000,0,100,0,4576.16,1,64
50000,0,32800,0,9894.4,0,66
50000,1,7500,1,6555.04,0,36
50000,1,37100,1,1360.48,1,40
50000,1,19580,1,1360.48,0,76
50000,0,5200,0,3957.76,0,63
50000,0,5400,0,3834.08,1,50
50000,1,40000,1,1236.8,0,40
50000,1,32400,1,1360.48,0,35
50000,1,17500,1,1236.8,1,34
50000,1,43700,1,1360.48,0,57
50000,1,16000,1,1236.8,0,48
50000,0,5400,0,1236.8,1,64
50000,0,7600,0,1360.48,0,29
50000,1,50000,1,1236.8,0,39
50000,1,17900,1,1360.48,1,38
50000,1,2000,1,618.4,0,18
50000,-1,9999999,-1,1360.48,0,14
50000,-1,9999999,-1,1360.48,1,13
50000,1,12500,1,1978.88,1,53
50000,0,35900,0,1360.48,0,63
50000,1,49500,1,1978.88,0,41
50000,1,12500,1,1978.88,1,39
50000,1,9000,1,1978.88,1,18
50000,-1,9999999,-1,1978.88,0,1
50000,-1,9999999,-1,1855.2,0,0
50000,1,55050,1,1978.88,0,50
50000,1,55000,1,1360.48,1,43
50000,1,2500,1,1236.8,0,18
50000,0,0,0,1360.48,1,69
50000,0,8530,0,1360.48,0,59
50000,1,40800,1,1978.88,1,54
50000,0,8000,0,2844.64,0,23
50000,1,180000,1,2597.28,0,50
50000,0,0,0,2597.28,1,50
50000,1,10000,1,3339.36,0,18
50000,1,32000,1,1236.8,1,53
50000,1,146000,1,742.08,0,64
50000,-1,9999999,-1,1236.8,1,13
50000,-1,9999999,-1,1360.48,0,11
50000,0,1780,0,1360.48,1,85
50000,0,5900,0,1236.8,1,44
50000,0,0,0,1360.48,1,16
50000,1,42000,1,1978.88,0,33
50000,0,18400,0,1236.8,1,33
50000,-1,9999999,-1,742.08,1,0
50000,1,41200,1,3957.76,1,46
50000,1,42000,1,1360.48,0,41
50000,1,15000,1,1978.88,1,38
50000,-1,4900,-1,1978.88,0,15
50000,-1,9999999,-1,1236.8,0,13
50000,1,34000,1,618.4,0,48
50000,1,20000,1,1360.48,1,45
50000,0,200,0,1236.8,1,18
50000,1,71900,1,1978.88,1,70
50000,1,54900,1,1360.48,1,62
50000,1,24500,1,1978.88,0,31
50000,1,17500,1,1978.88,0,24
50000,1,16890,1,1978.88,1,21
50000,0,56200,0,2597.28,0,79
50000,0,5300,0,1978.88,1,70
50000,1,36300,1,3957.76,0,47
50000,1,29000,1,4576.16,1,44
50000,1,7600,1,4699.84,0,19
50000,1,18000,1,5318.24,0,23
50000,1,11100,1,4576.16,1,26
50000,1,52000,1,1236.8,0,39
50000,1,28000,1,742.08,1,32
50000,1,32000,1,5318.24,0,55
50000,1,47000,1,3957.76,0,46
50000,1,12000,1,3834.08,1,41
50000,-1,9999999,-1,5318.24,0,11
50000,-1,9999999,-1,4576.16,0,8
50000,-1,9999999,-1,3957.76,1,4
50000,0,32000,1,1978.88,0,30
50000,-1,9999999,-1,1978.88,1,8
50000,1,10000,1,3339.36,1,36
50000,1,35600,1,1978.88,0,41
50000,-1,9999999,-1,1360.48,0,9
50000,1,12400,1,1978.88,1,30
50000,1,37300,1,1236.8,0,41
50000,1,31100,1,1360.48,1,28
50000,0,2000,0,1360.48,0,17
50000,-1,750,-1,1236.8,1,15
50000,1,31760,1,3215.68,0,47
50000,0,2800,0,3339.36,1,60
50000,1,54000,1,1360.48,0,54
50000,1,40000,1,1978.88,1,52
50000,0,9200,0,1360.48,0,72
56000,1,10400,1,1484.16,1,20
56000,0,20600,0,2844.64,1,81
56000,0,20600,0,2720.96,1,82
56000,0,20600,0,2844.64,1,82
56000,0,30900,0,1360.48,0,86
56000,0,3600,0,2720.96,1,69
56000,1,183000,1,5194.56,1,46
56000,1,23530,1,1855.2,0,43
56000,1,31320,1,2844.64,1,59
56000,1,29000,1,3710.4,0,39
56000,0,22100,0,989.44,0,81
56000,0,15600,0,865.76,1,68
56000,0,25360,0,989.44,0,67
56000,0,2100,0,371.04,1,59
56000,1,31000,1,2844.64,0,55
56000,1,45000,1,3215.68,1,37
56000,1,22000,1,1360.48,0,48
56000,1,41000,1,989.44,1,48
56000,-1,0,-1,865.76,0,15
56000,-1,9999999,-1,989.44,0,13
56000,0,0,0,1360.48,0,62
56000,0,0,0,989.44,1,56
56000,1,22000,1,1360.48,0,43
56000,1,77300,1,989.44,1,37
56000,1,48100,1,865.76,0,33
56000,-1,9999999,-1,989.44,0,5
56000,-1,9999999,-1,865.76,0,1
56000,0,6000,0,989.44,1,52
56000,1,25000,1,2844.64,1,56
56000,1,31000,1,3215.68,1,55
56000,0,59100,0,3215.68,0,65
56000,1,6400,1,2349.92,1,58
56000,0,45000,1,989.44,0,50
56000,1,65000,1,1360.48,1,42
56000,-1,3500,-1,989.44,0,15
56000,-1,9999999,-1,865.76,0,11
56000,0,23300,0,989.44,0,70
56000,0,0,0,865.76,1,70
56000,1,40000,1,2844.64,0,27
56000,0,500,0,1855.2,1,26
56000,-1,9999999,-1,1855.2,0,7
56000,-1,9999999,-1,1855.2,0,6
56000,1,45000,1,989.44,0,46
56000,1,21000,1,865.76,1,45
56000,-1,9999999,-1,989.44,0,13
56000,1,90000,1,3710.4,0,39
56000,1,4300,1,3710.4,1,39
56000,-1,9999999,-1,3710.4,0,12
56000,-1,9999999,-1,3710.4,1,10
56000,-1,9999999,-1,3710.4,1,7
56000,0,11200,0,865.76,0,68
56000,1,43750,1,3339.36,0,35
56000,1,33000,1,2349.92,1,33
56000,-1,9999999,-1,2720.96,0,5
56000,-1,9999999,-1,3215.68,0,4
56000,1,48620,1,3339.36,0,49
56000,1,13300,1,3215.68,1,46
56000,1,2700,1,3215.68,0,18
56000,-1,0,-1,2844.64,0,15
56000,0,8000,0,2349.92,0,89
